Дата операции;Категория;Описание;Сумма в валюте счёта
31.03.2026;Кафе;SURF COFFEE EKATERINBURG;-299,61
31.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-868,03
01.04.2026;Супермаркеты;VKUSVILL 2281;-507,47
01.04.2026;Переводы;PEREVOD SBP;-4020,56
02.04.2026;Образование;COURSERA.ORG MOUNTAIN VIEW;-3990,00
02.04.2026;Связь;MTS MOBILE PAY;-650,00
02.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-514,63
02.04.2026;Кафе;COFFEE LIKE EKB;-186,64
02.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-407,95
02.04.2026;Транспорт;METRO EKB TURNIKET;-50,36
02.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-3106,63
03.04.2026;Развлечения;VK MUSIC SUBSCRIPTION;-199,00
03.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-875,31
03.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-612,61
03.04.2026;Одежда;SPORTMASTER EKB;-6746,99
04.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2998,85
04.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-1906,26
04.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3083,11
04.04.2026;Маркетплейсы;WILDBERRIES 4715;-4737,58
05.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1062,69
05.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1831,84
05.04.2026;Кафе;COFFEE LIKE EKB;-274,66
05.04.2026;Транспорт;METRO EKB TURNIKET;-48,08
06.04.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
06.04.2026;Кафе;SURF COFFEE EKATERINBURG;-323,53
06.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-254,27
07.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1586,99
07.04.2026;Супермаркеты;VKUSVILL 2281;-1398,88
07.04.2026;Маркетплейсы;WILDBERRIES 4715;-3188,41
08.04.2026;Кафе;COFFEE LIKE EKB;-207,15
08.04.2026;Рестораны;DODO PIZZA 1130;-796,94
08.04.2026;Переводы;PEREVOD SBP;-2332,34
09.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-675,97
09.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-945,58
09.04.2026;Транспорт;METRO EKB TURNIKET;-54,61
10.04.2026;Супермаркеты;VKUSVILL 2281;-1340,44
10.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1625,32
10.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-531,78
11.04.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
11.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1109,27
11.04.2026;Кафе;COFFEE LIKE EKB;-238,25
11.04.2026;Кафе;SURF COFFEE EKATERINBURG;-236,84
12.04.2026;Транспорт;METRO EKB TURNIKET;-38,09
12.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-1818,29
12.04.2026;Маркетплейсы;OZON.RU MOSCOW;-2337,12
12.04.2026;Переводы;PEREVOD SBP;-1442,56
13.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2378,21
13.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1600,43
13.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1757,07
13.04.2026;Транспорт;METRO EKB TURNIKET;-44,17
13.04.2026;Маркетплейсы;WILDBERRIES 4715;-1077,06
14.04.2026;Образование;SKILLBOX MOSCOW RUS;-3000,00
14.04.2026;Кафе;COFFEE LIKE EKB;-353,04
14.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3879,38
15.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1744,00
15.04.2026;Кафе;COFFEE LIKE EKB;-374,62
15.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-650,43
16.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2073,13
16.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-689,24
16.04.2026;Маркетплейсы;WILDBERRIES 4715;-3347,07
17.04.2026;Кафе;COFFEE LIKE EKB;-155,23
17.04.2026;Рестораны;DODO PIZZA 1130;-1043,97
17.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-206,05
17.04.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-840,01
17.04.2026;Переводы;PEREVOD SBP;-6264,85
18.04.2026;Развлечения;SPOTIFY P2A1B3C4;-399,00
18.04.2026;Транспорт;METRO EKB TURNIKET;-55,86
18.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-1951,38
19.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-386,77
19.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1570,99
19.04.2026;Супермаркеты;VKUSVILL 2281;-536,43
20.04.2026;Кафе;COFFEE LIKE EKB;-295,64
20.04.2026;Транспорт;METRO EKB TURNIKET;-61,13
20.04.2026;Переводы;PEREVOD SBP;-3121,56
21.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-976,14
21.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2305,64
21.04.2026;Кафе;SURF COFFEE EKATERINBURG;-206,84
22.04.2026;Рестораны;DODO PIZZA 1130;-1303,00
22.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-242,52
22.04.2026;Транспорт;METRO EKB TURNIKET;-61,36
22.04.2026;Маркетплейсы;WILDBERRIES 4715;-4953,56
23.04.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
23.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2281,25
23.04.2026;Супермаркеты;VKUSVILL 2281;-605,47
23.04.2026;Кафе;COFFEE LIKE EKB;-325,54
24.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-365,67
24.04.2026;Переводы;PEREVOD SBP;-2374,41
25.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1348,01
25.04.2026;Кафе;COFFEE LIKE EKB;-360,93
25.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-728,51
25.04.2026;Транспорт;METRO EKB TURNIKET;-56,72
25.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3096,36
26.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2142,84
26.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-233,46
26.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-922,01
26.04.2026;Кафе;COFFEE LIKE EKB;-406,40
26.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-2897,88
27.04.2026;Супермаркеты;VKUSVILL 2281;-346,08
27.04.2026;Кафе;COFFEE LIKE EKB;-203,83
27.04.2026;Здоровье;APTEKA APREL EKB;-1575,62
27.04.2026;Маркетплейсы;WILDBERRIES 4715;-5435,14
28.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1142,91
28.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-358,29
28.04.2026;Маркетплейсы;OZON.RU MOSCOW;-4825,92
29.04.2026;Кафе;SURF COFFEE EKATERINBURG;-539,31
29.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-794,09
29.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-1700,91
30.04.2026;Кафе;COFFEE LIKE EKB;-184,08
30.04.2026;Маркетплейсы;WILDBERRIES 4715;-5993,15
30.04.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-690,32
30.04.2026;Переводы;PEREVOD SBP;-2237,60
01.05.2026;Связь;MTS MOBILE PAY;-650,00
01.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1571,25
01.05.2026;Транспорт;METRO EKB TURNIKET;-58,06
01.05.2026;Электроника;DNS SHOP EKATERINBURG;-13246,46
02.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2222,26
02.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-856,20
02.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1297,45
02.05.2026;Маркетплейсы;OZON.RU MOSCOW;-3671,16
03.05.2026;Развлечения;VK MUSIC SUBSCRIPTION;-199,00
03.05.2026;Супермаркеты;VKUSVILL 2281;-891,66
03.05.2026;Кафе;COFFEE LIKE EKB;-330,75
03.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-797,25
04.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-832,99
04.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-975,36
05.05.2026;Кафе;COFFEE LIKE EKB;-338,86
05.05.2026;Маркетплейсы;WILDBERRIES 4715;-799,75
05.05.2026;Переводы;PEREVOD SBP;-8535,25
06.05.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
06.05.2026;Кафе;SURF COFFEE EKATERINBURG;-426,01
06.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-508,00
06.05.2026;Транспорт;METRO EKB TURNIKET;-35,26
06.05.2026;Одежда;SPORTMASTER EKB;-3493,09
07.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1487,65
07.05.2026;Супермаркеты;VKUSVILL 2281;-1102,60
07.05.2026;Кафе;COFFEE LIKE EKB;-357,06
08.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1500,05
08.05.2026;Маркетплейсы;WILDBERRIES 4715;-4395,06
09.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2187,47
09.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-471,77
09.05.2026;Рестораны;DODO PIZZA 1130;-1233,81
10.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-213,43
10.05.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3882,00
10.05.2026;Кафе;COFFEE LIKE EKB;-351,94
10.05.2026;Транспорт;METRO EKB TURNIKET;-53,83
10.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-1486,73
10.05.2026;Маркетплейсы;OZON.RU MOSCOW;-5094,66
11.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1458,36
11.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-689,55
11.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-622,07
11.05.2026;Здоровье;APTEKA APREL EKB;-847,19
11.05.2026;Электроника;DNS SHOP EKATERINBURG;-1858,51
11.05.2026;Переводы;PEREVOD SBP;-2960,30
13.05.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
13.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1150,75
13.05.2026;Кафе;SURF COFFEE EKATERINBURG;-194,54
13.05.2026;Переводы;PEREVOD SBP;-1519,87
14.05.2026;Супермаркеты;VKUSVILL 2281;-294,22
14.05.2026;Кафе;COFFEE LIKE EKB;-180,92
14.05.2026;Маркетплейсы;OZON.RU MOSCOW;-1791,50
14.05.2026;Маркетплейсы;WILDBERRIES 4715;-3269,05
15.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-533,93
16.05.2026;Образование;SKILLBOX MOSCOW RUS;-3000,00
16.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1379,81
16.05.2026;Рестораны;DODO PIZZA 1130;-1273,91
16.05.2026;Переводы;PEREVOD SBP;-1598,08
17.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-663,55
17.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1456,42
17.05.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-964,50
18.05.2026;Супермаркеты;VKUSVILL 2281;-1347,53
18.05.2026;Кафе;COFFEE LIKE EKB;-179,19
18.05.2026;Кафе;SURF COFFEE EKATERINBURG;-295,21
18.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-369,61
19.05.2026;Кафе;COFFEE LIKE EKB;-156,93
20.05.2026;Развлечения;SPOTIFY P2A1B3C4;-399,00
20.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1455,54
20.05.2026;Транспорт;METRO EKB TURNIKET;-57,64
20.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-3134,94
20.05.2026;Маркетплейсы;OZON.RU MOSCOW;-2617,93
20.05.2026;Маркетплейсы;WILDBERRIES 4715;-914,55
21.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1262,38
21.05.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2695,90
21.05.2026;Кафе;COFFEE LIKE EKB;-408,71
22.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-509,09
22.05.2026;Кафе;SURF COFFEE EKATERINBURG;-547,23
22.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-273,02
22.05.2026;Транспорт;METRO EKB TURNIKET;-47,32
22.05.2026;Переводы;PEREVOD SBP;-5026,95
23.05.2026;Супермаркеты;VKUSVILL 2281;-1479,60
24.05.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
24.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-556,14
24.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1737,36
25.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1625,09
25.05.2026;Кафе;COFFEE LIKE EKB;-257,10
25.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-524,15
25.05.2026;Маркетплейсы;OZON.RU MOSCOW;-1572,92
25.05.2026;Маркетплейсы;WILDBERRIES 4715;-3947,71
26.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1585,36
27.05.2026;Кафе;COFFEE LIKE EKB;-336,47
27.05.2026;Здоровье;APTEKA APREL EKB;-1130,71
27.05.2026;Маркетплейсы;OZON.RU MOSCOW;-2230,35
28.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1967,53
28.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-302,99
28.05.2026;Переводы;PEREVOD SBP;-6178,41
29.05.2026;Кафе;COFFEE LIKE EKB;-319,36
29.05.2026;Кафе;SURF COFFEE EKATERINBURG;-283,42
29.05.2026;Транспорт;METRO EKB TURNIKET;-61,80
30.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1113,77
30.05.2026;Рестораны;DODO PIZZA 1130;-1144,46
30.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-1689,11
30.05.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-390,50
31.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-708,63
31.05.2026;Супермаркеты;VKUSVILL 2281;-307,44
31.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1468,19
31.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-200,50
01.06.2026;Связь;MTS MOBILE PAY;-650,00
01.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1380,19
01.06.2026;Маркетплейсы;WILDBERRIES 4715;-4090,19
02.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2391,93
02.06.2026;Кафе;COFFEE LIKE EKB;-379,58
02.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-683,95
03.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2110,42
03.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-289,73
04.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1054,49
04.06.2026;Супермаркеты;VKUSVILL 2281;-1235,17
04.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-400,63
04.06.2026;Транспорт;METRO EKB TURNIKET;-47,64
05.06.2026;Развлечения;VK MUSIC SUBSCRIPTION;-199,00
05.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-343,88
05.06.2026;Кафе;SURF COFFEE EKATERINBURG;-214,18
05.06.2026;Одежда;SPORTMASTER EKB;-6487,18
05.06.2026;Переводы;PEREVOD SBP;-3510,42
06.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1311,84
06.06.2026;Кафе;COFFEE LIKE EKB;-312,11
07.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1436,90
07.06.2026;Транспорт;METRO EKB TURNIKET;-34,52
07.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-3401,18
07.06.2026;Маркетплейсы;WILDBERRIES 4715;-3603,05
08.06.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
08.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-875,00
08.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-300,44
08.06.2026;Супермаркеты;VKUSVILL 2281;-801,13
08.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1139,66
08.06.2026;Рестораны;DODO PIZZA 1130;-1258,87
08.06.2026;Транспорт;METRO EKB TURNIKET;-59,27
08.06.2026;Маркетплейсы;OZON.RU MOSCOW;-4907,50
08.06.2026;Переводы;PEREVOD SBP;-4207,87
09.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-318,95
09.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-652,33
09.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-339,54
09.06.2026;Маркетплейсы;WILDBERRIES 4715;-3500,70
10.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1224,31
11.06.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
11.06.2026;Кафе;COFFEE LIKE EKB;-361,31
11.06.2026;Кафе;SURF COFFEE EKATERINBURG;-371,95
11.06.2026;Здоровье;APTEKA APREL EKB;-994,94
12.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1263,75
12.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-318,06
12.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3525,16
12.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-669,34
12.06.2026;Транспорт;METRO EKB TURNIKET;-37,80
13.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-777,40
13.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-1841,75
14.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1273,67
14.06.2026;Кафе;SURF COFFEE EKATERINBURG;-246,14
14.06.2026;Маркетплейсы;OZON.RU MOSCOW;-1772,17
15.06.2026;Супермаркеты;VKUSVILL 2281;-1375,39
16.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1707,14
16.06.2026;Кафе;COFFEE LIKE EKB;-243,75
16.06.2026;Переводы;PEREVOD SBP;-4407,91
17.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-867,85
18.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1115,78
18.06.2026;Кафе;COFFEE LIKE EKB;-286,61
18.06.2026;Транспорт;METRO EKB TURNIKET;-50,53
19.06.2026;Развлечения;SPOTIFY P2A1B3C4;-399,00
19.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1361,22
19.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-930,56
19.06.2026;Кафе;SURF COFFEE EKATERINBURG;-490,12
19.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-639,87
20.06.2026;Супермаркеты;VKUSVILL 2281;-495,70
20.06.2026;Транспорт;METRO EKB TURNIKET;-38,61
20.06.2026;Маркетплейсы;OZON.RU MOSCOW;-5240,72
20.06.2026;Одежда;SPORTMASTER EKB;-6745,51
21.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-340,35
21.06.2026;Кафе;COFFEE LIKE EKB;-242,13
21.06.2026;Маркетплейсы;WILDBERRIES 4715;-3058,86
22.06.2026;Прочее;MIDJOURNEY INC;-1000,00
23.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2130,68
23.06.2026;Транспорт;METRO EKB TURNIKET;-35,61
23.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-3130,33
23.06.2026;Здоровье;APTEKA APREL EKB;-1210,37
23.06.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1069,35
23.06.2026;Переводы;PEREVOD SBP;-4148,92
24.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1255,22
24.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1637,31
25.06.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
25.06.2026;Кафе;COFFEE LIKE EKB;-178,50
