Дата операции;Категория;Описание;Сумма в валюте счёта
21.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-984,83
21.03.2026;Переводы;PEREVOD SBP;-1091,48
22.03.2026;Кафе;SURF COFFEE EKATERINBURG;-261,26
22.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-237,11
22.03.2026;Электроника;DNS SHOP EKATERINBURG;-11790,97
23.03.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
23.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1089,98
23.03.2026;Транспорт;METRO EKB TURNIKET;-61,25
23.03.2026;Маркетплейсы;WILDBERRIES 4715;-5450,75
24.03.2026;Кафе;COFFEE LIKE EKB;-407,43
25.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-383,74
25.03.2026;Кафе;COFFEE LIKE EKB;-263,14
25.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-208,30
25.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2405,04
25.03.2026;Маркетплейсы;OZON.RU MOSCOW;-2298,94
26.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2268,24
26.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1587,18
27.03.2026;Кафе;COFFEE LIKE EKB;-312,88
27.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-357,76
28.03.2026;Супермаркеты;VKUSVILL 2281;-1331,44
28.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1663,89
28.03.2026;Кафе;COFFEE LIKE EKB;-209,55
29.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1667,91
29.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-432,89
29.03.2026;Транспорт;METRO EKB TURNIKET;-46,56
29.03.2026;Здоровье;APTEKA APREL EKB;-1618,58
29.03.2026;Переводы;PEREVOD SBP;-6798,24
30.03.2026;Кафе;SURF COFFEE EKATERINBURG;-234,24
30.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3589,13
30.03.2026;Маркетплейсы;WILDBERRIES 4715;-2339,22
31.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1836,58
31.03.2026;Кафе;COFFEE LIKE EKB;-157,84
31.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-244,84
31.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2064,67
01.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3713,14
01.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1595,78
01.04.2026;Кафе;SURF COFFEE EKATERINBURG;-258,51
02.04.2026;Спорт;WORLD CLASS FITNESS MOSCOW;-29990,00
02.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-659,88
02.04.2026;Транспорт;METRO EKB TURNIKET;-63,14
03.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1651,20
03.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-501,75
03.04.2026;Супермаркеты;VKUSVILL 2281;-1236,34
03.04.2026;Маркетплейсы;OZON.RU MOSCOW;-2752,10
04.04.2026;Прочее;GOOGLE*GOOGLE ONE MOUNTAIN VIEW;-199,00
04.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-329,86
04.04.2026;Кафе;COFFEE LIKE EKB;-240,75
04.04.2026;Одежда;SPORTMASTER EKB;-6021,20
04.04.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1509,59
04.04.2026;Переводы;PEREVOD SBP;-5009,10
05.04.2026;Рестораны;DODO PIZZA 1130;-1234,32
06.04.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
06.04.2026;Кафе;COFFEE LIKE EKB;-194,56
06.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-588,39
07.04.2026;Супермаркеты;VKUSVILL 2281;-394,04
07.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1341,46
07.04.2026;Кафе;SURF COFFEE EKATERINBURG;-270,06
07.04.2026;Маркетплейсы;WILDBERRIES 4715;-466,30
08.04.2026;Прочее;YANDEX 360 MOSCOW RUS;-299,00
08.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1478,46
08.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1494,76
08.04.2026;Кафе;COFFEE LIKE EKB;-276,20
08.04.2026;Транспорт;METRO EKB TURNIKET;-45,58
09.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-855,06
09.04.2026;Переводы;PEREVOD SBP;-3697,65
10.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1934,08
10.04.2026;Кафе;SURF COFFEE EKATERINBURG;-551,34
11.04.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
11.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-796,42
11.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1439,39
12.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1246,91
12.04.2026;Кафе;COFFEE LIKE EKB;-157,28
12.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3493,93
13.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-1634,64
13.04.2026;Здоровье;APTEKA APREL EKB;-1039,87
13.04.2026;Переводы;PEREVOD SBP;-3148,92
14.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-876,90
14.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2562,90
15.04.2026;Развлечения;PREMIER.ONE MOSCOW RUS;-399,00
15.04.2026;Прочее;MAIL.RU CLOUD MOSCOW RUS;-149,00
15.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1069,53
15.04.2026;Супермаркеты;VKUSVILL 2281;-535,82
15.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-371,35
16.04.2026;Кафе;COFFEE LIKE EKB;-256,39
16.04.2026;Транспорт;METRO EKB TURNIKET;-54,52
16.04.2026;Маркетплейсы;WILDBERRIES 4715;-5385,84
17.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-758,84
17.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1205,87
17.04.2026;Кафе;SURF COFFEE EKATERINBURG;-384,12
18.04.2026;Супермаркеты;VKUSVILL 2281;-1272,57
18.04.2026;Кафе;COFFEE LIKE EKB;-323,54
18.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-208,56
19.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1408,17
19.04.2026;Рестораны;DODO PIZZA 1130;-833,76
19.04.2026;Переводы;PEREVOD SBP;-3257,25
20.04.2026;Развлечения;OKKO TV MOSCOW RUS;-799,00
20.04.2026;Кафе;COFFEE LIKE EKB;-186,64
20.04.2026;Транспорт;METRO EKB TURNIKET;-38,02
20.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-2239,00
20.04.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-765,70
21.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3446,51
22.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-974,53
22.04.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1058,14
22.04.2026;Супермаркеты;VKUSVILL 2281;-1246,23
22.04.2026;Кафе;COFFEE LIKE EKB;-252,36
22.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-642,57
22.04.2026;Маркетплейсы;WILDBERRIES 4715;-1891,26
23.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-585,84
23.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1525,07
23.04.2026;Кафе;SURF COFFEE EKATERINBURG;-261,82
24.04.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
24.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1683,31
24.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1415,57
24.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-830,41
25.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1274,41
25.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1584,79
25.04.2026;Кафе;COFFEE LIKE EKB;-207,15
25.04.2026;Транспорт;METRO EKB TURNIKET;-64,86
26.04.2026;Автомобиль;GAZPROMNEFT AZS 152;-2938,41
27.04.2026;Кафе;COFFEE LIKE EKB;-252,36
27.04.2026;Маркетплейсы;OZON.RU MOSCOW;-3634,74
27.04.2026;Электроника;DNS SHOP EKATERINBURG;-6303,75
27.04.2026;Переводы;PEREVOD SBP;-8008,41
28.04.2026;Супермаркеты;VKUSVILL 2281;-542,22
28.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1359,35
28.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-630,70
28.04.2026;Маркетплейсы;WILDBERRIES 4715;-1453,36
29.04.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-870,95
29.04.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1644,88
29.04.2026;Транспорт;METRO EKB TURNIKET;-43,96
01.05.2026;Кафе;COFFEE LIKE EKB;-353,04
01.05.2026;Кафе;SURF COFFEE EKATERINBURG;-274,17
01.05.2026;Переводы;PEREVOD SBP;-1822,43
02.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-866,50
02.05.2026;Рестораны;DODO PIZZA 1130;-1152,71
02.05.2026;Маркетплейсы;OZON.RU MOSCOW;-3902,40
03.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-830,77
03.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-529,13
03.05.2026;Маркетплейсы;WILDBERRIES 4715;-535,45
04.05.2026;Кафе;COFFEE LIKE EKB;-172,11
05.05.2026;Супермаркеты;VKUSVILL 2281;-667,04
05.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-612,61
05.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-1448,27
05.05.2026;Одежда;SPORTMASTER EKB;-6518,15
06.05.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
06.05.2026;Прочее;GOOGLE*GOOGLE ONE MOUNTAIN VIEW;-199,00
06.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1535,94
06.05.2026;Кафе;COFFEE LIKE EKB;-155,23
06.05.2026;Транспорт;METRO EKB TURNIKET;-36,29
06.05.2026;Маркетплейсы;OZON.RU MOSCOW;-3642,69
07.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1683,16
07.05.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2989,48
07.05.2026;Кафе;COFFEE LIKE EKB;-244,49
07.05.2026;Переводы;PEREVOD SBP;-1193,44
08.05.2026;Кафе;COFFEE LIKE EKB;-325,54
08.05.2026;Кафе;SURF COFFEE EKATERINBURG;-387,63
08.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-416,65
08.05.2026;Маркетплейсы;WILDBERRIES 4715;-4992,41
09.05.2026;Прочее;YANDEX 360 MOSCOW RUS;-299,00
09.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-776,19
09.05.2026;Здоровье;APTEKA APREL EKB;-1578,77
11.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2394,88
11.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1317,58
11.05.2026;Супермаркеты;VKUSVILL 2281;-1331,80
11.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-920,80
11.05.2026;Кафе;COFFEE LIKE EKB;-353,64
12.05.2026;Кафе;COFFEE LIKE EKB;-406,40
12.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-655,79
12.05.2026;Транспорт;METRO EKB TURNIKET;-63,04
12.05.2026;Переводы;PEREVOD SBP;-4266,46
13.05.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
13.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-418,00
13.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1371,50
13.05.2026;Маркетплейсы;OZON.RU MOSCOW;-576,43
14.05.2026;Рестораны;DODO PIZZA 1130;-713,75
14.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-1417,82
14.05.2026;Маркетплейсы;WILDBERRIES 4715;-1451,92
15.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-548,07
15.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1625,32
15.05.2026;Кафе;COFFEE LIKE EKB;-191,14
15.05.2026;Кафе;SURF COFFEE EKATERINBURG;-291,50
15.05.2026;Переводы;PEREVOD SBP;-4020,56
16.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1198,09
16.05.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1994,07
16.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-672,51
17.05.2026;Развлечения;PREMIER.ONE MOSCOW RUS;-399,00
17.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-452,14
17.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-983,81
17.05.2026;Транспорт;METRO EKB TURNIKET;-61,74
18.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1420,56
18.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-511,94
18.05.2026;Супермаркеты;VKUSVILL 2281;-1055,44
18.05.2026;Кафе;COFFEE LIKE EKB;-184,08
18.05.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1012,21
19.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-384,63
19.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-3303,15
20.05.2026;Развлечения;OKKO TV MOSCOW RUS;-799,00
20.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1877,19
20.05.2026;Кафе;COFFEE LIKE EKB;-208,85
20.05.2026;Рестораны;DODO PIZZA 1130;-1061,60
20.05.2026;Маркетплейсы;OZON.RU MOSCOW;-5379,60
21.05.2026;Кафе;COFFEE LIKE EKB;-338,86
21.05.2026;Маркетплейсы;WILDBERRIES 4715;-751,29
21.05.2026;Одежда;SPORTMASTER EKB;-4814,40
22.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1379,82
22.05.2026;Транспорт;METRO EKB TURNIKET;-65,01
22.05.2026;Переводы;PEREVOD SBP;-2332,34
23.05.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
23.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2339,84
23.05.2026;Супермаркеты;VKUSVILL 2281;-755,60
24.05.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1323,01
24.05.2026;Кафе;COFFEE LIKE EKB;-313,96
24.05.2026;Здоровье;APTEKA APREL EKB;-431,18
25.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1348,01
25.05.2026;Кафе;SURF COFFEE EKATERINBURG;-448,04
25.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-570,57
26.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1819,10
26.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-306,92
26.05.2026;Кафе;COFFEE LIKE EKB;-351,94
26.05.2026;Маркетплейсы;WILDBERRIES 4715;-4737,58
26.05.2026;Переводы;PEREVOD SBP;-1442,56
28.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1737,96
28.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-502,93
28.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-3403,36
28.05.2026;Маркетплейсы;OZON.RU MOSCOW;-3083,11
29.05.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-968,09
29.05.2026;Транспорт;METRO EKB TURNIKET;-41,75
29.05.2026;Автомобиль;GAZPROMNEFT AZS 152;-3039,38
29.05.2026;Маркетплейсы;WILDBERRIES 4715;-3188,41
29.05.2026;Электроника;DNS SHOP EKATERINBURG;-5200,30
30.05.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1653,20
30.05.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1738,31
30.05.2026;Кафе;COFFEE LIKE EKB;-410,47
31.05.2026;Супермаркеты;VKUSVILL 2281;-1424,65
31.05.2026;Кафе;SURF COFFEE EKATERINBURG;-236,72
31.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-868,83
31.05.2026;Переводы;PEREVOD SBP;-6264,85
01.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-552,03
02.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2303,94
02.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1671,83
02.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1297,45
03.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2352,48
03.06.2026;Кафе;COFFEE LIKE EKB;-179,19
03.06.2026;Рестораны;DODO PIZZA 1130;-576,23
03.06.2026;Здоровье;APTEKA APREL EKB;-1838,40
03.06.2026;Переводы;PEREVOD SBP;-3121,56
04.06.2026;Транспорт;METRO EKB TURNIKET;-53,57
04.06.2026;Маркетплейсы;WILDBERRIES 4715;-1077,06
05.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2141,77
05.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1017,45
05.06.2026;Супермаркеты;VKUSVILL 2281;-403,02
05.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-466,96
05.06.2026;Маркетплейсы;OZON.RU MOSCOW;-2337,12
06.06.2026;Прочее;GOOGLE*GOOGLE ONE MOUNTAIN VIEW;-199,00
06.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1047,51
06.06.2026;Кафе;COFFEE LIKE EKB;-332,88
06.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-646,94
07.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-691,60
07.06.2026;Маркетплейсы;OZON.RU MOSCOW;-3879,38
07.06.2026;Маркетплейсы;WILDBERRIES 4715;-3347,07
07.06.2026;Переводы;PEREVOD SBP;-2374,41
08.06.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
08.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1563,63
08.06.2026;Кафе;SURF COFFEE EKATERINBURG;-512,91
08.06.2026;Транспорт;METRO EKB TURNIKET;-43,84
09.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-689,55
09.06.2026;Кафе;COFFEE LIKE EKB;-408,71
09.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-565,24
09.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-3106,63
10.06.2026;Прочее;YANDEX 360 MOSCOW RUS;-399,00
10.06.2026;Кафе;COFFEE LIKE EKB;-170,52
11.06.2026;Развлечения;KINOPOISK.RU;-399,00
11.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2218,27
11.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3225,76
11.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-1906,26
12.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1580,29
12.06.2026;Супермаркеты;VKUSVILL 2281;-1453,54
12.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1701,83
12.06.2026;Кафе;SURF COFFEE EKATERINBURG;-402,40
12.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-436,86
13.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1737,36
13.06.2026;Рестораны;DODO PIZZA 1130;-1494,16
13.06.2026;Транспорт;METRO EKB TURNIKET;-55,25
13.06.2026;Маркетплейсы;WILDBERRIES 4715;-4953,56
13.06.2026;Переводы;PEREVOD SBP;-2237,60
14.06.2026;Прочее;MAIL.RU CLOUD MOSCOW RUS;-149,00
14.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1649,01
14.06.2026;Кафе;COFFEE LIKE EKB;-336,47
14.06.2026;Транспорт;METRO EKB TURNIKET;-53,68
14.06.2026;Одежда;SPORTMASTER EKB;-3234,89
14.06.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1691,68
16.06.2026;Развлечения;PREMIER.ONE MOSCOW RUS;-399,00
16.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1586,66
16.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-852,00
16.06.2026;Кафе;COFFEE LIKE EKB;-358,57
16.06.2026;Кафе;SURF COFFEE EKATERINBURG;-258,21
16.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-717,07
17.06.2026;Супермаркеты;VKUSVILL 2281;-589,18
18.06.2026;Супермаркеты;LENTA-186 EKATERINBURG;-4018,12
18.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1621,84
18.06.2026;Кафе;COFFEE LIKE EKB;-379,58
18.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-324,53
18.06.2026;Транспорт;METRO EKB TURNIKET;-62,29
18.06.2026;Маркетплейсы;OZON.RU MOSCOW;-3096,36
18.06.2026;Маркетплейсы;WILDBERRIES 4715;-5435,14
18.06.2026;Переводы;PEREVOD SBP;-8535,25
19.06.2026;Автомобиль;GAZPROMNEFT AZS 152;-1818,29
20.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1441,91
20.06.2026;Кафе;COFFEE LIKE EKB;-415,64
20.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-569,95
20.06.2026;Транспорт;METRO EKB TURNIKET;-53,38
21.06.2026;Развлечения;SPOTIFY P2A1B3C4;-399,00
21.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1130,48
21.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1468,19
21.06.2026;Маркетплейсы;OZON.RU MOSCOW;-4825,92
21.06.2026;Маркетплейсы;WILDBERRIES 4715;-5993,15
21.06.2026;Электроника;DNS SHOP EKATERINBURG;-4462,59
22.06.2026;Развлечения;OKKO TV MOSCOW RUS;-799,00
22.06.2026;Кафе;COFFEE LIKE EKB;-361,31
22.06.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1833,67
23.06.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
23.06.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1782,81
23.06.2026;Кафе;SURF COFFEE EKATERINBURG;-209,01
24.06.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1939,54
24.06.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-273,19
24.06.2026;Супермаркеты;VKUSVILL 2281;-1163,40
24.06.2026;Кафе;COFFEE LIKE EKB;-250,05
