pattern,canonical_name,category,typical_amount,period
MAILRU CLOUD,Cloud Mail.ru,облако,149,monthly
VK CLOUD,Cloud Mail.ru,облако,149,monthly
MAIL.RU*CLOUD,Cloud Mail.ru,облако,149,monthly
YANDEX 360,Яндекс 360,облако,249,monthly
YANDEX*360,Яндекс 360,облако,249,monthly
YANDEX DISK,Яндекс 360,облако,249,monthly
YANDEX DISK PLUS,Яндекс 360,облако,249,monthly
YANDEX DISK*SUB,Яндекс 360,облако,249,monthly
YANDEX 360 PREMIUM,Яндекс 360,облако,249,monthly
YANDEX360,Яндекс 360,облако,249,monthly
DISK.YANDEX.RU,Яндекс 360,облако,249,monthly
YANDEX CLOUD DISK,Яндекс 360,облако,249,monthly
YANDEX*DISK,Яндекс 360,облако,249,monthly
GOOGLE*GOOGLE ONE,Google One,облако,199,monthly
GOOGLE ONE,Google One,облако,199,monthly
GOOGLE STORAGE,Google One,облако,199,monthly
GOOGLE*STORAGE,Google One,облако,199,monthly
GOOGLE ONE SUB,Google One,облако,199,monthly
GOOGLE*ONE,Google One,облако,199,monthly
GOOGLE STORAGE PLAN,Google One,облако,199,monthly
GOOGLE ONE PREMIUM,Google One,облако,199,monthly
GOOGLE ONE MONTHLY,Google One,облако,199,monthly
GOOGLE*DRIVE STORAGE,Google One,облако,199,monthly
YANDEX PLUS,Яндекс Плюс,bank_premium,299,monthly
YANDEX*PLUS,Яндекс Плюс,bank_premium,299,monthly
YANDEX PLUS SUB,Яндекс Плюс,bank_premium,299,monthly
YANDEX*PLUS SUBSCRIPTION,Яндекс Плюс,bank_premium,299,monthly
PLUS.YANDEX.RU,Яндекс Плюс,bank_premium,299,monthly
YANDEX PLUS MONTHLY,Яндекс Плюс,bank_premium,299,monthly
YANDEX*YPLUS,Яндекс Плюс,bank_premium,299,monthly
YANDEX PLUS PREMIUM,Яндекс Плюс,bank_premium,299,monthly
YANDEX PLUS PAY,Яндекс Плюс,bank_premium,299,monthly
YANDEX*PLUS MONTH,Яндекс Плюс,bank_premium,299,monthly
SBERPRIME,СберПрайм,bank_premium,399,monthly
SBER PRIME,СберПрайм,bank_premium,399,monthly
SBER*PRIME,СберПрайм,bank_premium,399,monthly
SBERBANK PRIME,СберПрайм,bank_premium,399,monthly
SBER PRIME SUB,СберПрайм,bank_premium,399,monthly
SBER*PREMIUM,СберПрайм,bank_premium,399,monthly
SBERPRIME MONTHLY,СберПрайм,bank_premium,399,monthly
SBER PRIME PLUS,СберПрайм,bank_premium,399,monthly
SBER*PRIME MONTH,СберПрайм,bank_premium,399,monthly
SBERPRIME SUB,СберПрайм,bank_premium,399,monthly
TINKOFF PRO,Тинькофф Pro,bank_premium,199,monthly
T-BANK PRO,Тинькофф Pro,bank_premium,199,monthly
TBANK PRO,Тинькофф Pro,bank_premium,199,monthly
TINKOFF*PRO,Тинькофф Pro,bank_premium,199,monthly
T-BANK*PRO,Тинькофф Pro,bank_premium,199,monthly
TBANK*PRO,Тинькофф Pro,bank_premium,199,monthly
TINKOFF PREMIUM,Тинькофф Pro,bank_premium,199,monthly
T-BANK PREMIUM,Тинькофф Pro,bank_premium,199,monthly
TBANK PRO SUB,Тинькофф Pro,bank_premium,199,monthly
TINKOFF PRO MONTHLY,Тинькофф Pro,bank_premium,199,monthly
MTS,МТС,телеком,650,monthly
MTS.RU,МТС,телеком,650,monthly
MTS MOBILE,МТС,телеком,650,monthly
MTS*BALANCE,МТС,телеком,650,monthly
MTS*PAY,МТС,телеком,650,monthly
MTS TELECOM,МТС,телеком,650,monthly
MTS*MONTHLY,МТС,телеком,650,monthly
MTS MOBILE PAY,МТС,телеком,650,monthly
MTS.RU*PAY,МТС,телеком,650,monthly
MTS SUBSCRIPTION,МТС,телеком,650,monthly
BEELINE,билайн,телеком,650,monthly
BEELINE.RU,билайн,телеком,650,monthly
BEE LINE,билайн,телеком,650,monthly
BEELINE MOBILE,билайн,телеком,650,monthly
BEELINE*PAY,билайн,телеком,650,monthly
BEELINE TELECOM,билайн,телеком,650,monthly
BEELINE*MONTHLY,билайн,телеком,650,monthly
BEELINE MOBILE PAY,билайн,телеком,650,monthly
BEELINE.RU*PAY,билайн,телеком,650,monthly
BEELINE SUB,билайн,телеком,650,monthly
MEGAFON,МегаФон,телеком,650,monthly
MEGAFON.RU,МегаФон,телеком,650,monthly
MEGAFON MOBILE,МегаФон,телеком,650,monthly
MEGAFON*PAY,МегаФон,телеком,650,monthly
MEGAFON TELECOM,МегаФон,телеком,650,monthly
MEGAFON*MONTHLY,МегаФон,телеком,650,monthly
MEGAFON MOBILE PAY,МегаФон,телеком,650,monthly
MEGAFON.RU*PAY,МегаФон,телеком,650,monthly
MEGAFON SUB,МегаФон,телеком,650,monthly
MEGAFON BALANCE,МегаФон,телеком,650,monthly
TELE2,Теле2,телеком,550,monthly
T2,Теле2,телеком,550,monthly
T2.RU,Теле2,телеком,550,monthly
TELE2 MOBILE,Теле2,телеком,550,monthly
T2 MOBILE,Теле2,телеком,550,monthly
TELE2*PAY,Теле2,телеком,550,monthly
T2*PAY,Теле2,телеком,550,monthly
TELE2*MONTHLY,Теле2,телеком,550,monthly
T2.RU*PAY,Теле2,телеком,550,monthly
TELE2 BALANCE,Теле2,телеком,550,monthly
APPLE.COM/BILL,Apple Services,other,499,monthly
APPLE COM BILL,Apple Services,other,499,monthly
APPLE SERVICES,Apple Services,other,499,monthly
APPLE.COM BILL,Apple Services,other,499,monthly
ITUNES.COM/BILL,Apple Services,other,499,monthly
ITUNES BILL,Apple Services,other,499,monthly
APPLE*SERVICES,Apple Services,other,499,monthly
APPLE*SUBSCRIPTION,Apple Services,other,499,monthly
APPLE.COM*BILL,Apple Services,other,499,monthly
APPLE MEDIA SERVICES,Apple Services,other,499,monthly
GOOGLE*PLAY,Google Play,other,399,monthly
GOOGLE PLAY,Google Play,other,399,monthly
GOOGLE PLAY APPS,Google Play,other,399,monthly
GOOGLE*GPLAY,Google Play,other,399,monthly
GOOGLE PLAY STORE,Google Play,other,399,monthly
GOOGLE*SERVICES,Google Play,other,399,monthly
GOOGLE PLAY SUB,Google Play,other,399,monthly
GOOGLE PLAY PURCHASE,Google Play,other,399,monthly
GOOGLE*PLAY STORE,Google Play,other,399,monthly
GOOGLE PLAY BILL,Google Play,other,399,monthly
DUOLINGO,Duolingo,образование,999,monthly
DUOLINGO.COM,Duolingo,образование,999,monthly
DUOLINGO PLUS,Duolingo,образование,999,monthly
DUOLINGO*SUB,Duolingo,образование,999,monthly
DUOLINGO SUPER,Duolingo,образование,999,monthly
DUOLINGO*PREMIUM,Duolingo,образование,999,monthly
DUOLINGO MONTHLY,Duolingo,образование,999,monthly
DUOLINGO.COM*SUB,Duolingo,образование,999,monthly
DUOLINGO SUPER SUB,Duolingo,образование,999,monthly
DUOLINGO*PLUS,Duolingo,образование,999,monthly
OPENAI*CHATGPT,ChatGPT,ai_tools,999,monthly
CHATGPT,ChatGPT,ai_tools,999,monthly
OPENAI CHATGPT,ChatGPT,ai_tools,999,monthly
CHATGPT PLUS,ChatGPT,ai_tools,999,monthly
OPENAI*PLUS,ChatGPT,ai_tools,999,monthly
CHATGPT.COM,ChatGPT,ai_tools,999,monthly
OPENAI.COM,ChatGPT,ai_tools,999,monthly
CHATGPT SUB,ChatGPT,ai_tools,999,monthly
OPENAI*CHATGPT PLUS,ChatGPT,ai_tools,999,monthly
CHATGPT PLUS SUB,ChatGPT,ai_tools,999,monthly
LITRES,Литрес,книги,499,monthly
LITRES.RU,Литрес,книги,499,monthly
LITRES*SUB,Литрес,книги,499,monthly
LITRES SUBSCRIPTION,Литрес,книги,499,monthly
LITRES BOOKS,Литрес,книги,499,monthly
LITRES.RU*PAY,Литрес,книги,499,monthly
LITRES*MONTHLY,Литрес,книги,499,monthly
LITRES PREMIUM,Литрес,книги,499,monthly
LITRES BOOK,Литрес,книги,499,monthly
LITRES*SUBS,Литрес,книги,499,monthly
OZON,Ozon,доставка,1500,unknown
OZON.RU,Ozon,доставка,1500,unknown
OZON*PAY,Ozon,доставка,1500,unknown
OZON ONLINE,Ozon,доставка,1500,unknown
OZON MARKET,Ozon,доставка,1500,unknown
OZON.RU*PAY,Ozon,доставка,1500,unknown
OZON ORDER,Ozon,доставка,1500,unknown
OZON*ORDER,Ozon,доставка,1500,unknown
OZON MARKETPLACE,Ozon,доставка,1500,unknown
OZON.RU*ORDER,Ozon,доставка,1500,unknown
YANDEX*EATS,Яндекс Еда,доставка,1200,unknown
YANDEX EDA,Яндекс Еда,доставка,1200,unknown
YANDEX FOOD,Яндекс Еда,доставка,1200,unknown
YANDEX*FOOD,Яндекс Еда,доставка,1200,unknown
EDA.YANDEX.RU,Яндекс Еда,доставка,1200,unknown
YANDEX EATS,Яндекс Еда,доставка,1200,unknown
YANDEX*EDA,Яндекс Еда,доставка,1200,unknown
YANDEX EDA*PAY,Яндекс Еда,доставка,1200,unknown
YANDEX FOOD*PAY,Яндекс Еда,доставка,1200,unknown
YANDEX*EATS ORDER,Яндекс Еда,доставка,1200,unknown
YANDEX*TAXI,Яндекс Go,транспорт,500,unknown
YANDEX GO,Яндекс Go,транспорт,500,unknown
YANDEX GO TAXI,Яндекс Go,транспорт,500,unknown
YANDEX*TAXI PAY,Яндекс Go,транспорт,500,unknown
TAXI.YANDEX.RU,Яндекс Go,транспорт,500,unknown
YANDEX GO*PAY,Яндекс Go,транспорт,500,unknown
YANDEX TAXI,Яндекс Go,транспорт,500,unknown
YANDEX*GO,Яндекс Go,транспорт,500,unknown
YANDEX GO RIDE,Яндекс Go,транспорт,500,unknown
YANDEX TAXI PAY,Яндекс Go,транспорт,500,unknown
SBERBANK,Сбер,bank_premium,0,unknown
SBER,Сбер,bank_premium,0,unknown
SBERBANK ONLINE,Сбер,bank_premium,0,unknown
SBER ONLINE,Сбер,bank_premium,0,unknown
SBER*PAY,Сбер,bank_premium,0,unknown
SBERBANK*PAY,Сбер,bank_premium,0,unknown
SBERBANK PREMIUM,Сбер,bank_premium,0,monthly
SBER*PREMIUM SERVICE,Сбер,bank_premium,0,monthly
SBER SUBSCRIPTION,Сбер,bank_premium,0,monthly
SBERBANK*SUB,Сбер,bank_premium,0,monthly
TINKOFF,Тинькофф,bank_premium,0,unknown
TINKOFF BANK,Тинькофф,bank_premium,0,unknown
T-BANK,Тинькофф,bank_premium,0,unknown
T-BANK*PAY,Тинькофф,bank_premium,0,unknown
TINKOFF*PAY,Тинькофф,bank_premium,0,unknown
TINKOFF PREMIUM,Тинькофф,bank_premium,0,monthly
T-BANK PREMIUM,Тинькофф,bank_premium,0,monthly
TINKOFF*SUB,Тинькофф,bank_premium,0,monthly
T-BANK*SUB,Тинькофф,bank_premium,0,monthly
TINKOFF SUBSCRIPTION,Тинькофф,bank_premium,0,monthly
